Subject,Start Date,Start Time,End Date,End Time,Description
Healthcare Management Information System,15/10/2025,09:45,15/10/2025,11:15,Prof. Charu Naithani
Financial Management for Healthcare Organizations,15/10/2025,11:30,15/10/2025,13:00,Prof. Molla Ramizur Rahman
Patient-Centric Healthcare Service Delivery,15/10/2025,14:00,15/10/2025,15:30,Prof. Swapnarag Swain
Operations Management: Healthcare Perspective,15/10/2025,15:45,15/10/2025,17:15,Prof. Ajith Tom James
Sustainable Development Practices in Healthcare,16/10/2025,09:45,16/10/2025,11:15,Prof. Sreelekha Mishra
Health Economics,16/10/2025,11:30,16/10/2025,13:00,Prof. Madhumita Das
Healthcare Quality Management,16/10/2025,14:00,16/10/2025,15:30,Prof. Suryakant Kumar
Operations Management: Healthcare Perspective,17/10/2025,09:45,17/10/2025,11:15,Prof. Ajith Tom James
Patient-Centric Healthcare Service Delivery,17/10/2025,11:30,17/10/2025,13:00,Prof. Swapnarag Swain
Healthcare Management Information System,17/10/2025,14:00,17/10/2025,15:30,Prof. Charu Naithani
Financial Management for Healthcare Organizations,17/10/2025,15:45,17/10/2025,17:15,Prof. Molla Ramizur Rahman
DIWALI,20/10/2025,09:45,20/10/2025,11:15,nan
Sustainable Development Practices in Healthcare,21/10/2025,09:45,21/10/2025,11:15,Prof. Sreelekha Mishra
Health Economics,21/10/2025,14:00,21/10/2025,15:30,Prof. Madhumita Das
Patient-Centric Healthcare Service Delivery,21/10/2025,15:45,21/10/2025,17:15,Prof. Swapnarag Swain
Patient-Centric Healthcare Service Delivery,22/10/2025,09:45,22/10/2025,11:15,Prof. Swapnarag Swain
Health Economics,22/10/2025,14:00,22/10/2025,15:30,Prof. Madhumita Das
Financial Management for Healthcare Organizations,23/10/2025,09:45,23/10/2025,11:15,Prof. Molla Ramizur Rahman
Sustainable Development Practices in Healthcare,23/10/2025,11:30,23/10/2025,13:00,Prof. Sreelekha Mishra
Healthcare Quality Management,23/10/2025,14:00,23/10/2025,15:30,Prof. Suryakant Kumar
Patient-Centric Healthcare Service Delivery,24/10/2025,09:45,24/10/2025,11:15,Prof. Swapnarag Swain
Healthcare Quality Management,24/10/2025,11:30,24/10/2025,13:00,Prof. Suryakant Kumar
Sustainable Development Practices in Healthcare,24/10/2025,14:00,24/10/2025,15:30,Prof. Sreelekha Mishra
Health Economics,24/10/2025,15:45,24/10/2025,17:15,Prof. Madhumita Das
Sustainable Development Practices in Healthcare,25/10/2025,11:30,25/10/2025,13:00,Prof. Sreelekha Mishra
Patient-Centric Healthcare Service Delivery,27/10/2025,09:45,27/10/2025,11:15,Prof. Swapnarag Swain
Health Economics,27/10/2025,11:30,27/10/2025,13:00,Prof. Madhumita Das
Healthcare Quality Management,27/10/2025,14:00,27/10/2025,15:30,Prof. Suryakant Kumar
Healthcare Management Information System,27/10/2025,15:45,27/10/2025,17:15,Prof. Charu Naithani
CHATTH,28/10/2025,09:45,28/10/2025,11:15,nan
CHATTH,28/10/2025,11:30,28/10/2025,13:00,nan
Human Resource Mangement for Healthcare,29/10/2025,09:45,29/10/2025,11:15,Prof. Vittal Rangan S
Healthcare Quality Management,29/10/2025,11:30,29/10/2025,13:00,Prof. Suryakant Kumar
Health Economics,29/10/2025,14:00,29/10/2025,15:30,Prof. Madhumita Das
Healthcare Management Information System,29/10/2025,15:45,29/10/2025,17:15,Prof. Charu Naithani
Financial Management for Healthcare Organizations,30/10/2025,09:45,30/10/2025,11:15,Prof. Molla Ramizur Rahman
Sustainable Development Practices in Healthcare,30/10/2025,11:30,30/10/2025,13:00,Prof. Sreelekha Mishra
Patient-Centric Healthcare Service Delivery,30/10/2025,14:00,30/10/2025,15:30,Prof. Swapnarag Swain
Operations Management: Healthcare Perspective,30/10/2025,15:45,30/10/2025,17:15,Prof. Ajith Tom James
Human Resource Mangement for Healthcare,31/10/2025,09:45,31/10/2025,11:15,Prof. Vittal Rangan S
Healthcare Management Information System,31/10/2025,11:30,31/10/2025,13:00,Prof. Charu Naithani
Healthcare Quality Management,31/10/2025,14:00,31/10/2025,15:30,Prof. Suryakant Kumar
Health Economics,31/10/2025,15:45,31/10/2025,17:15,Prof. Madhumita Das
Operations Management: Healthcare Perspective,01/11/2025,09:45,01/11/2025,11:15,Prof. Ajith Tom James
Human Resource Mangement for Healthcare,01/11/2025,11:30,01/11/2025,13:00,Prof. Vittal Rangan S
Financial Management for Healthcare Organizations,03/11/2025,09:45,03/11/2025,11:15,Prof. Molla Ramizur Rahman
Human Resource Mangement for Healthcare,03/11/2025,11:30,03/11/2025,13:00,Prof. Vittal Rangan S
Healthcare Quality Management,03/11/2025,14:00,03/11/2025,15:30,Prof. Suryakant Kumar
Operations Management: Healthcare Perspective,03/11/2025,15:45,03/11/2025,17:15,Prof. Ajith Tom James
Sustainable Development Practices in Healthcare,04/11/2025,09:45,04/11/2025,11:15,Prof. Sreelekha Mishra
Healthcare Management Information System,04/11/2025,11:30,04/11/2025,13:00,Prof. Charu Naithani
Health Economics,04/11/2025,14:00,04/11/2025,15:30,Prof. Madhumita Das
Patient-Centric Healthcare Service Delivery,04/11/2025,15:45,04/11/2025,17:15,Prof. Swapnarag Swain
GURUNANAK JAYANTI,05/11/2025,09:45,05/11/2025,11:15,nan
GURUNANAK JAYANTI,05/11/2025,11:30,05/11/2025,13:00,nan
GURUNANAK JAYANTI,05/11/2025,14:00,05/11/2025,15:30,nan
GURUNANAK JAYANTI,05/11/2025,15:45,05/11/2025,17:15,nan
Financial Management for Healthcare Organizations,06/11/2025,09:45,06/11/2025,11:15,Prof. Molla Ramizur Rahman
Sustainable Development Practices in Healthcare,06/11/2025,11:30,06/11/2025,13:00,Prof. Sreelekha Mishra
Healthcare Quality Management,07/11/2025,11:30,07/11/2025,13:00,Prof. Suryakant Kumar
Human Resource Mangement for Healthcare,07/11/2025,14:00,07/11/2025,15:30,Prof. Vittal Rangan S
Operations Management: Healthcare Perspective,07/11/2025,15:45,07/11/2025,17:15,Prof. Ajith Tom James
NETRITVA,08/11/2025,09:45,08/11/2025,11:15,nan
NETRITVA,08/11/2025,11:30,08/11/2025,13:00,nan
MID TERM EXAMINATIONS,10/11/2025,09:45,10/11/2025,11:15,nan
MID TERM EXAMINATIONS,10/11/2025,11:30,10/11/2025,13:00,nan
MID TERM EXAMINATIONS,10/11/2025,14:00,10/11/2025,15:30,nan
MID TERM EXAMINATIONS,10/11/2025,15:45,10/11/2025,17:15,nan
MID TERM EXAMINATIONS,11/11/2025,09:45,11/11/2025,11:15,nan
MID TERM EXAMINATIONS,11/11/2025,11:30,11/11/2025,13:00,nan
MID TERM EXAMINATIONS,11/11/2025,14:00,11/11/2025,15:30,nan
MID TERM EXAMINATIONS,11/11/2025,15:45,11/11/2025,17:15,nan
MID TERM EXAMINATIONS,12/11/2025,09:45,12/11/2025,11:15,nan
MID TERM EXAMINATIONS,12/11/2025,11:30,12/11/2025,13:00,nan
MID TERM EXAMINATIONS,12/11/2025,14:00,12/11/2025,15:30,nan
MID TERM EXAMINATIONS,12/11/2025,15:45,12/11/2025,17:15,nan
MID TERM EXAMINATIONS,13/11/2025,09:45,13/11/2025,11:15,nan
MID TERM EXAMINATIONS,13/11/2025,11:30,13/11/2025,13:00,nan
MID TERM EXAMINATIONS,13/11/2025,14:00,13/11/2025,15:30,nan
MID TERM EXAMINATIONS,13/11/2025,15:45,13/11/2025,17:15,nan
MID TERM EXAMINATIONS,14/11/2025,09:45,14/11/2025,11:15,nan
MID TERM EXAMINATIONS,14/11/2025,11:30,14/11/2025,13:00,nan
MID TERM EXAMINATIONS,14/11/2025,14:00,14/11/2025,15:30,nan
MID TERM EXAMINATIONS,14/11/2025,15:45,14/11/2025,17:15,nan
MID TERM EXAMINATIONS,15/11/2025,09:45,15/11/2025,11:15,nan
MID TERM EXAMINATIONS,15/11/2025,11:30,15/11/2025,13:00,nan
MID TERM EXAMINATIONS,15/11/2025,14:00,15/11/2025,15:30,nan
MID TERM EXAMINATIONS,15/11/2025,15:45,15/11/2025,17:15,nan
Healthcare Management Information System,16/11/2025,09:45,16/11/2025,11:15,Prof. Charu Naithani
Operations Management: Healthcare Perspective,17/11/2025,09:45,17/11/2025,11:15,Prof. Ajith Tom James
Human Resource Mangement for Healthcare,17/11/2025,11:30,17/11/2025,13:00,Prof. Vittal Rangan S
Healthcare Management Information System,18/11/2025,09:45,18/11/2025,11:15,Prof. Charu Naithani
Financial Management for Healthcare Organizations,18/11/2025,11:30,18/11/2025,13:00,Prof. Molla Ramizur Rahman
Human Resource Mangement for Healthcare,19/11/2025,14:00,19/11/2025,15:30,Prof. Vittal Rangan S
Operations Management: Healthcare Perspective,19/11/2025,15:45,19/11/2025,17:15,Prof. Ajith Tom James
Financial Management for Healthcare Organizations,20/11/2025,09:45,20/11/2025,11:15,Prof. Molla Ramizur Rahman
Healthcare Management Information System,20/11/2025,11:30,20/11/2025,13:00,Prof. Charu Naithani
Operations Management: Healthcare Perspective,21/11/2025,11:30,21/11/2025,13:00,Prof. Ajith Tom James
Human Resource Mangement for Healthcare,21/11/2025,15:45,21/11/2025,17:15,Prof. Vittal Rangan S
Financial Management for Healthcare Organizations,22/11/2025,09:45,22/11/2025,11:15,Prof. Molla Ramizur Rahman
Healthcare Management Information System,22/11/2025,11:30,22/11/2025,13:00,Prof. Charu Naithani
Financial Management for Healthcare Organizations,24/11/2025,11:30,24/11/2025,13:00,Prof. Molla Ramizur Rahman
Operations Management: Healthcare Perspective,24/11/2025,14:00,24/11/2025,15:30,Prof. Ajith Tom James
Human Resource Mangement for Healthcare,25/11/2025,09:45,25/11/2025,11:15,Prof. Vittal Rangan S
Healthcare Management Information System,25/11/2025,11:30,25/11/2025,13:00,Prof. Charu Naithani
Operations Management: Healthcare Perspective,26/11/2025,11:30,26/11/2025,13:00,Prof. Ajith Tom James
Financial Management for Healthcare Organizations,26/11/2025,14:00,26/11/2025,15:30,Prof. Molla Ramizur Rahman
Healthcare Management Information System,27/11/2025,09:45,27/11/2025,11:15,Prof. Charu Naithani
Financial Management for Healthcare Organizations,28/11/2025,09:45,28/11/2025,11:15,Prof. Molla Ramizur Rahman
Operations Management: Healthcare Perspective,28/11/2025,11:30,28/11/2025,13:00,Prof. Ajith Tom James
Healthcare Management Information System,29/11/2025,09:45,29/11/2025,11:15,Prof. Charu Naithani
Human Resource Mangement for Healthcare,01/12/2025,09:45,01/12/2025,11:15,Prof. Vittal Rangan S
Financial Management for Healthcare Organizations,01/12/2025,14:00,01/12/2025,15:30,Prof. Molla Ramizur Rahman
Healthcare Management Information System,01/12/2025,15:45,01/12/2025,17:15,Prof. Charu Naithani
Operations Management: Healthcare Perspective,02/12/2025,09:45,02/12/2025,11:15,Prof. Ajith Tom James
Healthcare Management Information System,03/12/2025,09:45,03/12/2025,11:15,Prof. Charu Naithani
Human Resource Mangement for Healthcare,03/12/2025,11:30,03/12/2025,13:00,Prof. Vittal Rangan S
Dynamics of Medical Devices/Equipment & Diagnostics Business,03/12/2025,14:00,03/12/2025,15:30,TBD9
Financial Management for Healthcare Organizations,03/12/2025,15:45,03/12/2025,17:15,Prof. Molla Ramizur Rahman
Operations Management: Healthcare Perspective,04/12/2025,09:45,04/12/2025,11:15,Prof. Ajith Tom James
Healthcare Management Information System,05/12/2025,11:30,05/12/2025,13:00,Prof. Charu Naithani
Human Resource Mangement for Healthcare,05/12/2025,14:00,05/12/2025,15:30,Prof. Vittal Rangan S
Financial Management for Healthcare Organizations,05/12/2025,15:45,05/12/2025,17:15,Prof. Molla Ramizur Rahman
Operations Management: Healthcare Perspective,06/12/2025,09:45,06/12/2025,11:15,Prof. Ajith Tom James
Operations Management: Healthcare Perspective,08/12/2025,09:45,08/12/2025,11:15,Prof. Ajith Tom James
Financial Management for Healthcare Organizations,08/12/2025,11:30,08/12/2025,13:00,Prof. Molla Ramizur Rahman
Human Resource Mangement for Healthcare,08/12/2025,15:45,08/12/2025,17:15,Prof. Vittal Rangan S
Healthcare Management Information System,10/12/2025,09:45,10/12/2025,11:15,Prof. Charu Naithani
Financial Management for Healthcare Organizations,10/12/2025,11:30,10/12/2025,13:00,Prof. Molla Ramizur Rahman
Dynamics of Health Insurance & Pharmaceutical Business,10/12/2025,14:00,10/12/2025,15:30,TBD8
Operations Management: Healthcare Perspective,10/12/2025,15:45,10/12/2025,17:15,Prof. Ajith Tom James
Human Resource Mangement for Healthcare,11/12/2025,11:30,11/12/2025,13:00,Prof. Vittal Rangan S
Financial Management for Healthcare Organizations,12/12/2025,11:30,12/12/2025,13:00,Prof. Molla Ramizur Rahman
Operations Management: Healthcare Perspective,12/12/2025,14:00,12/12/2025,15:30,Prof. Ajith Tom James
Healthcare Management Information System,12/12/2025,15:45,12/12/2025,17:15,Prof. Charu Naithani
END TERM EXAMINATIONS,15/12/2025,09:45,15/12/2025,11:15,nan
END TERM EXAMINATIONS,15/12/2025,11:30,15/12/2025,13:00,nan
END TERM EXAMINATIONS,15/12/2025,14:00,15/12/2025,15:30,nan
END TERM EXAMINATIONS,15/12/2025,15:45,15/12/2025,17:15,nan
END TERM EXAMINATIONS,16/12/2025,09:45,16/12/2025,11:15,nan
END TERM EXAMINATIONS,16/12/2025,11:30,16/12/2025,13:00,nan
END TERM EXAMINATIONS,16/12/2025,14:00,16/12/2025,15:30,nan
END TERM EXAMINATIONS,16/12/2025,15:45,16/12/2025,17:15,nan
END TERM EXAMINATIONS,17/12/2025,09:45,17/12/2025,11:15,nan
END TERM EXAMINATIONS,17/12/2025,11:30,17/12/2025,13:00,nan
END TERM EXAMINATIONS,17/12/2025,14:00,17/12/2025,15:30,nan
END TERM EXAMINATIONS,17/12/2025,15:45,17/12/2025,17:15,nan
